id;text
i suppose that , coming from mtv films , i should expect no less . . . 
but the film starts off light and airy , like a sitcom . 
as the screws tighten , and the tensions mount , alexander payne decides to add elements that , frankly , distract from the story . 
it is bad enough that mr . m doesn't like tracy's determination to win at all costs , but did they have to throw in the student/teacher relationship ? 
even so , there's no logical reason why mr . m has an affair when he does . 
there's a lot to like in _election_ , but the plot similarities to _rushmore_ , and the tonal nosedive it takes as it gets explicitly sex-driven , mark this as a disappointment . 
"

4;"the happy bastard's quick movie review 
damn that y2k bug . 
it's got a head start in this movie starring jamie lee curtis and another baldwin brother ( william this time ) in a story regarding a crew of a tugboat that comes across a deserted russian tech ship that has a strangeness to it when they kick the power back on . 
little do they know the power within . . . 
going for the gore and bringing on a few action sequences here and there , virus still feels very empty , like a movie going for all flash and no substance . 
we don't know why the crew was really out in the middle of nowhere , we don't know the origin of what took over the ship ( just that a big pink flashy thing hit the mir ) , and , of course , we don't know why donald sutherland is stumbling around drunkenly throughout . 
here , it's just ' hey , let's chase these people around with some robots ' . 
the acting is below average , even from the likes of curtis . 
you're more likely to get a kick out of her work in halloween h20 . 
sutherland is wasted and baldwin , well , he's acting like a baldwin , of course . 
the real star here are stan winston's robot design , some schnazzy cgi , and the occasional good gore shot , like picking into someone's brain . 
so , if robots and body parts really turn you on , here's your movie . 
otherwise , it's pretty much a sunken ship of a movie . 
"

5;"you've got mail works alot better than it deserves to . 
in order to make the film a success , all they had to do was cast two extremely popular and attractive stars , have them share the screen for about two hours and then collect the profits . 
no real acting was involved and there is not an original or inventive bone in it's body ( it's basically a complete re-shoot of the shop around the corner , only adding a few modern twists ) . 
essentially , it goes against and defies all concepts of good contemporary filmmaking . 
it's overly sentimental and at times terribly mushy , not to mention very manipulative . 
but oh , how enjoyable that manipulation is . 
but there must be something other than the casting and manipulation that makes the movie work as well as it does , because i absolutely hated the previous ryan/hanks teaming , sleepless in seattle . 
it couldn't have been the directing , because both films were helmed by the same woman . 
i haven't quite yet figured out what i liked so much about you've got mail , but then again , is that really important ? 
if you like something so much , why even question it ? 
again , the storyline is as cliched as they come . 
tom hanks plays joe fox , the insanely likeable owner of a discount book chain and meg ryan plays kathleen kelley , the even more insanely likeable proprietor of a family-run children's book shop called , in a nice homage , the shop around the corner . 
fox and kelley soon become bitter rivals because the new fox books store is opening up right across the block from the small business . 
little do they know , they are already in love with each other over the internet , only neither party knows the other person's true identity . 
the rest of the story isn't important because all it does is serve as a mere backdrop for the two stars to share the screen . 
sure , there are some mildly interesting subplots , but they all fail in comparison to the utter cuteness of the main relationship . 
all of this , of course , leads up to the predictable climax . 
but as foreseeable as the ending is , it's so damn cute and well-done that i doubt any movie in the entire year contains a scene the evokes as much pure joy as this part does . 
when ryan discovers the true identity of her online love , i was filled with such , for lack of a better word , happiness that for the first time all year , i actually left the theater smiling . 
"

6;"it is movies like these that make a jaded movie viewer thankful for the invention of the timex indiglo watch . 
based on the late 1960's television show by the same name , the mod squad tells the tale of three reformed criminals under the employ of the police to go undercover . 
however , things go wrong as evidence gets stolen and they are immediately under suspicion . 
of course , the ads make it seem like so much more . 
quick cuts , cool music , claire dane's nice hair and cute outfits , car chases , stuff blowing up , and the like . 
sounds like a cool movie , does it not ? 
after the first fifteen minutes , it quickly becomes apparent that it is not . 
the mod squad is certainly a slick looking production , complete with nice hair and costumes , but that simply isn't enough . 
the film is best described as a cross between an hour-long cop show and a music video , both stretched out into the span of an hour and a half . 
and with it comes every single clich ? . 
it doesn't really matter that the film is based on a television show , as most of the plot elements have been recycled from everything we've already seen . 
the characters and acting is nothing spectacular , sometimes even bordering on wooden . 
claire danes and omar epps deliver their lines as if they are bored , which really transfers onto the audience . 
the only one to escape relatively unscathed is giovanni ribisi , who plays the resident crazy man , ultimately being the only thing worth watching . 
unfortunately , even he's not enough to save this convoluted mess , as all the characters don't do much apart from occupying screen time . 
with the young cast , cool clothes , nice hair , and hip soundtrack , it appears that the film is geared towards the teenage mindset . 
despite an american 'r' rating ( which the content does not justify ) , the film is way too juvenile for the older mindset . 
information on the characters is literally spoon-fed to the audience ( would it be that hard to show us instead of telling us ? ) , dialogue is poorly written , and the plot is extremely predictable . 
the way the film progresses , you likely won't even care if the heroes are in any jeopardy , because you'll know they aren't . 
basing the show on a 1960's television show that nobody remembers is of questionable wisdom , especially when one considers the target audience and the fact that the number of memorable films based on television shows can be counted on one hand ( even one that's missing a finger or two ) . 
the number of times that i checked my watch ( six ) is a clear indication that this film is not one of them . 
it is clear that the film is nothing more than an attempt to cash in on the teenage spending dollar , judging from the rash of really awful teen-flicks that we've been seeing as of late . 
avoid this film at all costs . 
"

7;" ' jaws ' is a rare film that grabs your attention before it shows you a single image on screen . 
the movie opens with blackness , and only distant , alien-like underwater sounds . 
then it comes , the first ominous bars of composer john williams' now infamous score . 
dah-dum . 
from there , director steven spielberg wastes no time , taking us into the water on a midnight swim with a beautiful girl that turns deadly . 
right away he lets us know how vulnerable we all are floating in the ocean , and once ' jaws ' has attacked , it never relinquishes its grip . 
perhaps what is most outstanding about ' jaws ' is how spielberg builds the movie . 
he works it like a theatrical production , with a first act and a second act . 
unlike so many modern filmmakers , he has a great deal of restraint , and refuses to show us the shark until the middle of the second act . 
until then , he merely suggests its presence with creepy , subjective underwater shots and williams' music . 
he's building the tension bit by bit , so when it comes time for the climax , the shark's arrival is truly terrifying . 
he doesn't let us get bored with the imagery . 
the first act opens with police chief martin brody ( roy scheider ) , a new york cop who has taken an easy , peaceful job running the police station on amity island , a fictitious new england resort town where there hasn't been a murder or a gun fired in 25 years . 
the island is shaken up by several vicious great white shark attacks right before the fourth of july , and the mayor , larry vaughn ( murray hamilton ) , doesn't want to shut down the beaches because the island is reliant on summer tourist money . 
brody is joined by matt hooper ( richard dreyfuss ) , a young , ambitious shark expert from the marine institute . 
hooper is as fascinated by the shark as he is determined to help brody stop it -- his knowledge about the exact workings of the shark ( ' it's a perfect engine , an eating machine ' ) make it that much more terrifying . 
when vaughn finally relents , hooper and brody join a crusty old shark killer named quint ( robert shaw ) on his decrepit boat , the orca , to search for the shark . 
the entire second act takes place on the orca as the three men hunt the shark , and inevitably , are hunted by it . 
 ' jaws ' is a thriller with a keen sense of humor and an incredible sense of pacing , tension , and horror . 
it is like ten movies all rolled into one , and it's no wonder it took america by storm in the summer of 1975 , taking in enough money to crown it the box office champ of all time ( until it was unceremoniously dethroned in 1977 by ' star wars ' ) . 
even today , fascination with this film is on par with hitchcock's ' psycho , ' and it never seems to age . 
although grand new technology exists that makes the technical sequences , including several mechanical sharks , obsolete , none of it could improve the film because it only would lead to overkill . 
the technical limitations faced by spielberg in 1975 may have actually produced a better film because it forced him to rely on traditional cinematic elements like pacing , characterization , sharp editing , and creative photography , instead of simply dousing the audience with digital shark effects . 
scheider , dreyfuss , and shaw were known actors at the time ' jaws ' was made , but none of them had the draw of a robert redford or paul newman . 
nevertheless , this film guaranteed them all successful careers because each gave an outstanding performance and refused to be overshadowed by the shark . 
scheider hits just the right notes as a sympathetic husband and father caught in the political quagmire of doing what's right and going against the entire town . 
 ' it's your first summer here , you know , ' mayor vaughn warns him . 
dreyfuss , who had previously been seen in ' american graffiti ' ( 1973 ) and ' the apprenticeship of duddy kravitz ' ( 1974 ) gives a surprisingly mature , complex performance for someone who had literally only played kids and teenagers . 
however , most outstanding is the gnarled performance by robert shaw as the movie's captain ahab , a performance sorely overlooked by the academy awards . 
bordering of parody , shaw plays quint as a grizzled old loner whose machismo borders on masochism . 
he's slightly deranged , and shaw's performance is almost a caricature . 
however , there is one scene late in the film , when he and brody and hooper are below deck on the orca comparing scars . 
quint is drawn into telling the story of his experiences aboard the u . s . s . 
indianapolis , a navy ship in world war ii that was sunk by the japanese . 
his tale of floating in the water for more than a week with over 1 , 000 other men while swarms of sharks slowly devoured them them is actually more hair-raising than anything spielberg put on screen . 
shaw delivers the story in one long take , and it is the best acting in the film . 
of course , we can't leave out the shark itself ; with its black eyes , endless rows of teeth , and insatiable urge to eat , it is basically the epitome of all mankind's fears about what is unknown and threatening in nature . 
a shark is such a perfect nemesis it is real -- having survived sinch the dinosaurs , great whites do exist , they can be as large as the shark in ' jaws , ' and they are a threat . 
every one of spielberg's subjective underwater shots makes us feel queasy because lets us see how we look to the shark : a bunch of writihing , dangling , completely unprotected legs just ready to be chomped into . 
the shark in ' jaws ' was actually a combination of actual footage and five different mechanical sharks ( all nicknamed ' bruce ' by the crew ) built to be shot from different angles . 
many have forgotten , but ' jaws ' was a sort of precursor to ' waterworld ' ( 1995 ) , a movie's who soggy production and cost overruns had universal studios worried about a bomb . 
but , as we can see now , spielberg overcame all the obstacles , and delivered one of the finest primal scare-thrillers ever to come out of hollywood . 
"

8;" ' quest for camelot ' is warner bros . ' first feature-length , fully-animated attempt to steal clout from disney's cartoon empire , but the mouse has no reason to be worried . 
the only other recent challenger to their throne was last fall's promising , if flawed , 20th century fox production ' anastasia , ' but disney's ' hercules , ' with its lively cast and colorful palate , had her beat hands-down when it came time to crown 1997's best piece of animation . 
this year , it's no contest , as ' quest for camelot ' is pretty much dead on arrival . 
even the magic kingdom at its most mediocre -- that'd be ' pocahontas ' for those of you keeping score -- isn't nearly as dull as this . 
the story revolves around the adventures of free-spirited kayley ( voiced by jessalyn gilsig ) , the early-teen daughter of a belated knight from king arthur's round table . 
kayley's only dream is to follow in her father's footsteps , and she gets her chance when evil warlord ruber ( gary oldman ) , an ex-round table member-gone-bad , steals arthur's magical sword excalibur and accidentally loses it in a dangerous , booby-trapped forest . 
with the help of hunky , blind timberland-dweller garrett ( carey elwes ) and a two-headed dragon ( eric idle and don rickles ) that's always arguing with itself , kayley just might be able to break the medieval sexist mold and prove her worth as a fighter on arthur's side . 
 ' quest for camelot ' is missing pure showmanship , an essential element if it's ever expected to climb to the high ranks of disney . 
there's nothing here that differentiates ' quest ' from something you'd see on any given saturday morning cartoon -- subpar animation , instantly forgettable songs , poorly-integrated computerized footage . 
 ( compare kayley and garrett's run-in with the angry ogre to herc's battle with the hydra . 
i rest my case . ) 
even the characters stink -- none of them are remotely interesting , so much that the film becomes a race to see which one can out-bland the others . 
in the end , it's a tie -- they all win . 
that dragon's comedy shtick is awfully cloying , but at least it shows signs of a pulse . 
at least fans of the early-'90s tgif television line-up will be thrilled to find jaleel ' urkel ' white and bronson ' balki ' pinchot sharing the same footage . 
a few scenes are nicely realized ( though i'm at a loss to recall enough to be specific ) , and the actors providing the voice talent are enthusiastic ( though most are paired up with singers who don't sound a thing like them for their big musical moments -- jane seymour and celine dion ? ? ? ) . 
but one must strain through too much of this mess to find the good . 
aside from the fact that children will probably be as bored watching this as adults , ' quest for camelot ' 's most grievous error is its complete lack of personality . 
and personality , we learn from this mess , goes a very long way . 
"

9;"moviemaking is a lot like being the general manager of an nfl team in the post-salary cap era -- you've got to know how to allocate your resources . 
every dollar spent on a free-agent defensive tackle is one less dollar than you can spend on linebackers or safeties or centers . 
in the nfl , this leads to teams like the detroit lions , who boast a superstar running back with a huge contract , but can only field five guys named herb to block for him . 
in the movies , you end up with films like ' spawn ' , with a huge special-effects budget but not enough money to hire any recognizable actors . 
jackie chan is the barry sanders of moviemaking . 
he spins and darts across the screen like sanders cutting back through the defensive line . 
watching jackie in operation condor as he drives his motorcycle through the crowded streets of madrid , fleeing an armada of pursuers in identical black compact cars , is reminiscent of sanders running for daylight with the chicago bears in hot pursuit , except that sanders doesn't have to worry about rescuing runaway baby carriages . 
but like the lions star , jackie doesn't have anybody to block for him . 
almost every cent that's invested in a jackie chan movie goes for stunts , and as chan does his own stunts , the rest of the money goes to pay his hospital bills . 
this leaves about 75 cents to pay for things like directors ( chan directs ) , scripts and dubbing and supporting characters , not to mention the hideous title sequence . 
this also explains why the movie was shot in odd places like morocco and spain . 
 ( chan's first release in this country , ' rumble in the bronx ' , was supposedly set in new york , but was filmed in vancouver , and in the chase scenes the canadian rockies are clearly visible . ) 
heck , jackie doesn't even have enough money for a haircut , looks like , much less a personal hairstylist . 
in condor , chan plays the same character he's always played , himself , a mixture of bruce lee and tim allen , a master of both kung-fu and slapstick-fu . 
jackie is sent by the un to retrieve a cache of lost nazi gold in the north african desert , and is chased by a horde of neo-nazi sympathizers and two stereotypical arabs ( one of the things i like about jackie chan movies : no political correctness ) . 
he is joined by three women , who have little to do except scream , ' jackie , save us ! ' , and misuse firearms . 
the villain is an old nazi whose legs were broken in the secret base so that he has to be carried everywhere , and he's more pathetic than evil . 
en route , we have an extended motorcycle chase scene , a hilarious fight in the moroccan version of motel 6 with the neo-nazis , and two confrontations with savage natives . 
once at the secret desert base , there is a long chop-socky sequence , followed by the film's centerpiece , a wind-tunnel fight that's even better than the one in face/off . 
this is where the money was spent , on well-choreographed kung-fu sequences , on giant kevlar hamster balls , on smashed-up crates of bananas , and on scorpions . 
ignore the gaping holes in the plot ( how , exactly , if the villain's legs were broken , did he escape from the secret nazi base , and why didn't he take the key with him ? ) . 
don't worry about the production values , or what , exactly , the japanese girl was doing hitchhiking across the sahara . 
just go see the movie . 
operation condor has pretentions of being a ' raiders of the lost ark ' knockoff , but one wonders what jackie could do with the raiders franchise blocking for him -- with a lawrence kazdan screenplay , a john williams score , spielberg directing and george lucas producing , condor might be an a+ movie . 
however , you've got to go with what you've got , and what you've got in jackie chan is something special -- a talent that mainstream hollywood should , could , and ought to utilize . 
"

10;"synopsis : a mentally unstable man undergoing psychotherapy saves a boy from a potentially fatal accident and then falls in love with the boy's mother , a fledgling restauranteur . 
unsuccessfully attempting to gain the woman's favor , he takes pictures of her and kills a number of people in his way . 
comments : stalked is yet another in a seemingly endless string of spurned-psychos-getting-their-revenge type movies which are a stable category in the 1990s film industry , both theatrical and direct-to-video . 
their proliferation may be due in part to the fact that they're typically inexpensive to produce ( no special effects , no big name stars ) and serve as vehicles to flash nudity ( allowing them to frequent late-night cable television ) . 
stalked wavers slightly from the norm in one respect : the psycho never actually has an affair ; on the contrary , he's rejected rather quickly ( the psycho typically is an ex-lover , ex-wife , or ex-husband ) . 
other than that , stalked is just another redundant entry doomed to collect dust on video shelves and viewed after midnight on cable . 
stalked does not provide much suspense , though that is what it sets out to do . 
interspersed throughout the opening credits , for instance , a serious-sounding narrator spouts statistics about stalkers and ponders what may cause a man to stalk ( it's implicitly implied that all stalkers are men ) while pictures of a boy are shown on the screen . 
after these credits , a snapshot of actor jay underwood appears . 
the narrator states that ' this is the story of daryl gleason ' and tells the audience that he is the stalker . 
of course , really , this is the story of restauranteur brooke daniels . 
if the movie was meant to be about daryl , then it should have been called stalker not stalked . 
okay . so we know who the stalker is even before the movie starts ; no guesswork required . 
stalked proceeds , then , as it begins : obvious , obvious , obvious . 
the opening sequence , contrived quite a bit , brings daryl and brooke ( the victim ) together . 
daryl obsesses over brooke , follows her around , and tries to woo her . 
ultimately rejected by her , his plans become more and more desperate and elaborate . 
these plans include the all-time , psycho-in-love , cliche : the murdered pet . 
for some reason , this genre's films require a dead pet to be found by the victim stalked . 
stalked is no exception ( it's a cat this time -- found in the shower ) . 
events like these lead to the inevitable showdown between stalker and stalked , where only one survives ( guess who it invariably always is and you'll guess the conclusion to this turkey ) . 
stalked's cast is uniformly adequate : not anything to write home about but also not all that bad either . 
jay underwood , as the stalker , turns toward melodrama a bit too much . 
he overdoes it , in other words , but he still manages to be creepy enough to pass as the type of stalker the story demands . 
maryam d'abo , about the only actor close to being a star here ( she played the bond chick in the living daylights ) , is equally adequate as the ' stalked ' of the title , even though she seems too ditzy at times to be a strong , independent business-owner . 
brooke ( d'abo ) needs to be ditzy , however , for the plot to proceed . 
toward the end , for example , brooke has her suspicions about daryl . 
to ensure he won't use it as another excuse to see her , brooke decides to return a toolbox he had left at her place to his house . 
does she just leave the toolbox at the door when no one answers ? 
of course not . 
she tries the door , opens it , and wanders around the house . 
when daryl returns , he enters the house , of course , so our heroine is in danger . 
somehow , even though her car is parked at the front of the house , right by the front door , daryl is oblivious to her presence inside . 
the whole episode places an incredible strain on the audience's suspension of disbelief and questions the validity of either character's intelligence . 
stalked receives two stars because , even though it is highly derivative and somewhat boring , it is not so bad that it cannot be watched . 
rated r mostly for several murder scenes and brief nudity in a strip bar , it is not as offensive as many other thrillers in this genre are . 
if you're in the mood for a good suspense film , though , stake out something else . 
"

11;"capsule : in 2176 on the planet mars police taking into custody an accused murderer face the title menace . 
there is a lot of fighting and not a whole lot of story otherwise . 
john carpenter reprises so many ideas from his previous films , especially assault on precinct 13 , that the new film comes off as his homage to himself . 
 , 0 ( -4 to +4 ) . 
john carpenter apparently believes that action scenes in which people fight something horrible are the same as horror scenes . 
for a writer and director of horror films , supposedly an expert on horror , it is a very bad mistake to make . 
ghosts of mars is called a horror movie , but it is more just a drawn out fight between humans and a surprisingly low-powered alien menace . 
in addition if anybody but john carpenter had made ghosts of mars , carpenter would have grounds to sue . 
this film is just chock full of pieces taken from assault on precinct 13 , the thing , and prince of darkness . 
it is , in fact , surprising that carpenter managed to fit so many pieces of his previous work into this film in such an admittedly novel way . 
but that still does not make for a really good science fiction experience . 
ghosts of mars takes place in the year 2176 . 
mars has been mostly terraformed so that humans can walk on the surface without breathing gear ( which is good for the film's budget ) . 
it is never mentioned , but the gravity on mars has been increased somehow to earth-normal , again making it easier to film . 
society has changed a bit by that time , but it has advanced surprisingly little . 
apparently the culture has changed so that women are much more in positions of control . 
and from carpenter's view , women have really made a mess of things . 
society has stagnated under female control so that beyond some minor technological advances society has changed less in 175 years than we might expect it to change in ten . 
the basic plot of ghosts of mars has much in common with that of assault on precinct 13 except that precinct 9 ( yes , precinct 9 ) has been replaced by a somewhat tacky looking rundown martian mining colony . 
instead of having the criminal ' napolean ' wilson , this film has the criminal ' desolation ' williams . 
instead of facing hoodlums with automatic weapons the police face , well , ghosts of mars . 
because the ghosts are somewhat alien in nature they should behave in some alien manner , but they essentially behave as human savages , in another lapse of imagination . 
the story is told in flashback , flashback within flashback , and flashback within flashback within flashback . 
ghosts of mars takes place entirely at night and is filmed almost entirely in tones of red , yellow , and black . 
carpenter manages to give us a powerful opening scene , showing a mining train rushing through the martian night to the sound of music with a heavy beat . 
sadly what follows is not really up to the buildup . 
the terror he creates looks a little too much like fugitive wannabes from the rock band kiss . 
his idea of building suspense is having a bunch of sudden jump scenes that sucker the viewer into thinking something scary is happening and then prove to be just something boring . 
these are standard haunted house film shock effects that require no great talent to give the audience . 
somewhat newer but also unimpressive are the cgi digital decapitations in some of the fights . 
within a short stretch of time we have seen the release of mission to mars , red planet , and ghosts of mars . 
after mission to mars was panned by too many reviewers it looks better and better and better as time goes by . 
i rate ghosts of mars a 4 on the 0 to 10 scale and a 0 on the -4 to +4 scale . 
following the movie i showed my wife , who liked ghosts of mars moderately more than i did , carpenter's classic assault on precinct 13 . 
her comment is that it was seeing the same film twice . 
"

12;"on june 30 , 1960 , a self-taught , idealistic , yet pragmatic , young man became , at age 36 , the first head of government of a newly independent african state , formerly the belgian congo . 
two months later , he was ousted from his powerful position and hunted by government troops until he was captured and brutally murdered along with two aides . 
this little-known story of this meteoric rise and fall is told my international filmmaker raoul peck in ' lumumba . ' 
patrice lumumba's ( eriq ebouaney ) story has been told previously by helmer peck in his 1991 award winning documentary , ' lumumba - death of a prophet , ' virtually guaranteeing that his new , fictional account of a patriot remains true to its subject . 
peck , with co-writer pascal bonitzer , begins at the end of the story of the young political leader . 
we watch as two white men perform the gruesome task of dismembering the bodies of three black men . 
images of hatchets , saws and fast-emptying whiskey bottles accompany the grisly image . 
jump back a few years to a meeting among the black leaders in the belgian-owned congo . 
a third class postal worker , lumumba , speaks his mind to heads of the most powerful tribes , proclaiming himself not tribal , not regional , but a national leader . 
his small , mobile party , the congolese national movement ( mnc ) is gaining prominence and patrice leaves his clerical job to sell beer , and get his face known , in the bustling capital , stanleyville . 
at a time when the colonial empires are falling down around the world , lumumba is in the right place at the right time and , through political savvy and chess-like manipulation , achieves a position of leadership of the mnc . 
as the date for independence approaches , he tactically positions himself to be the new nation's first prime minister and defense minister , supporting the presidency of joseph kasa vubu ( maka kotto ) . 
the coalition he created soon starts to fall apart as the former belgian masters continue to exert influence on the struggling nation as they strive to maintain economic hold on the country's vast natural resources of copper , diamonds , gold and more . 
lumumba won't seek the help of the us , knowing that they would try to create de facto american control of the fledgling government . 
